Type of professional,Province/territory,Health region,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,,,,,,,,,
Nurse practitioners,Newfoundland and Labrador,Newfoundland and Labrador (regional integrated health authorities) (total),125,137,151,153,171,180,194,218,246,264,,,,,,,,,,,,,,
Nurse practitioners,Newfoundland and Labrador,Eastern–Urban Zone,57,60,67,67,71,79,91,105,132,157,,,,,,,,,,,,,,
Nurse practitioners,Newfoundland and Labrador,Eastern–Rural Zone,12,14,15,18,23,25,25,28,26,25,,,,,,,,,,,,,,
Nurse practitioners,Newfoundland and Labrador,Central Zone,25,26,28,33,32,30,34,39,36,35,,,,,,,,,,,,,,
Nurse practitioners,Newfoundland and Labrador,Western Zone,13,16,20,19,22,23,26,27,30,26,,,,,,,,,,,,,,
Nurse practitioners,Newfoundland and Labrador,Labrador–Grenfell Zone,18,21,21,16,23,20,15,16,18,17,,,,,,,,,,,,,,
Nurse practitioners,Newfoundland and Labrador,Other*,0,0,0,0,0,3,3,3,4,4,,,,,,,,,,,,,,
Nurse practitioners,Prince Edward Island,Prince Edward Island (total),13,21,23,26,36,42,—,54,64,—,,,,,,,,,,,,,,
Nurse practitioners,Prince Edward Island,Health PEI,13,21,23,26,36,42,—,54,64,—,,,,,,,,,,,,,,
Nurse practitioners,Nova Scotia,Nova Scotia (district health authorities) (total),138,134,149,165,192,199,221,251,295,—,,,,,,,,,,,,,,
Nurse practitioners,Nova Scotia,Western Zone,32,34,35,34,40,40,43,48,—,—,,,,,,,,,,,,,,
Nurse practitioners,Nova Scotia,Northern Zone,13,12,13,16,23,24,27,35,—,—,,,,,,,,,,,,,,
Nurse practitioners,Nova Scotia,Eastern Zone,20,20,24,26,28,27,43,42,—,—,,,,,,,,,,,,,,
Nurse practitioners,Nova Scotia,Central Zone,71,68,77,89,100,105,104,124,—,—,,,,,,,,,,,,,,
Nurse practitioners,Nova Scotia,Other*,2,0,0,0,1,3,4,2,—,—,,,,,,,,,,,,,,
Nurse practitioners,New Brunswick,New Brunswick (total),100,107,113,121,130,139,146,158,171,211,,,,,,,,,,,,,,
Nurse practitioners,New Brunswick,Zone 1 (Moncton Area),27,29,29,32,31,40,42,43,44,49,,,,,,,,,,,,,,
Nurse practitioners,New Brunswick,Zone 2 (Saint John Area),29,31,31,30,29,31,32,41,29,31,,,,,,,,,,,,,,
Nurse practitioners,New Brunswick,Zone 3 (Fredericton Area),22,25,26,30,36,36,34,39,56,85,,,,,,,,,,,,,,
Nurse practitioners,New Brunswick,Zone 4 (Edmundston Area),4,5,6,6,7,6,7,8,7,7,,,,,,,,,,,,,,
Nurse practitioners,New Brunswick,Zone 5 (Campbellton Area),6,4,6,6,7,8,8,9,11,13,,,,,,,,,,,,,,
Nurse practitioners,New Brunswick,Zone 6 (Bathurst Area),10,9,11,12,14,11,12,12,14,16,,,,,,,,,,,,,,
Nurse practitioners,New Brunswick,Zone 7 (Miramichi Area),2,4,4,5,6,7,8,6,4,6,,,,,,,,,,,,,,
Nurse practitioners,New Brunswick,Other*,0,0,0,0,0,0,3,0,6,4,,,,,,,,,,,,,,
Nurse practitioners,Quebec,Quebec (health regions) (total),297,370,420,481,519,655,910,"1,133","1,341","1,540",,,,,,,,,,,,,,
Nurse practitioners,Quebec,Bas-Saint-Laurent Region,6,4,7,10,9,8,12,15,17,25,,,,,,,,,,,,,,
Nurse practitioners,Quebec,Saguenay–Lac-Saint-Jean Region,7,6,8,12,14,13,19,22,37,44,,,,,,,,,,,,,,
Nurse practitioners,Quebec,Capitale-Nationale Region,33,38,45,44,51,69,99,127,145,158,,,,,,,,,,,,,,
Nurse practitioners,Quebec,Mauricie et Centre-du-Québec Region,25,33,34,38,41,48,59,80,93,103,,,,,,,,,,,,,,
Nurse practitioners,Quebec,Estrie Region,20,26,31,36,35,42,52,61,67,81,,,,,,,,,,,,,,
Nurse practitioners,Quebec,Montréal Region,80,106,113,135,149,200,287,362,439,458,,,,,,,,,,,,,,
Nurse practitioners,Quebec,Outaouais Region,13,15,16,19,20,26,36,38,48,52,,,,,,,,,,,,,,
Nurse practitioners,Quebec,Abitibi-Témiscamingue Region,8,10,12,14,15,16,25,27,30,26,,,,,,,,,,,,,,
Nurse practitioners,Quebec,Côte-Nord Region,2,2,3,3,4,6,6,6,8,11,,,,,,,,,,,,,,
Nurse practitioners,Quebec,Nord-du-Québec Region,1,1,1,1,1,1,1,2,3,3,,,,,,,,,,,,,,
Nurse practitioners,Quebec,Gaspésie–Îles-de-la-Madeleine Region,4,5,5,7,10,11,12,13,16,17,,,,,,,,,,,,,,
Nurse practitioners,Quebec,Chaudière-Appalaches Region,16,17,17,18,19,32,40,52,52,59,,,,,,,,,,,,,,
Nurse practitioners,Quebec,Laval Region,7,9,12,13,13,24,30,45,53,63,,,,,,,,,,,,,,
Nurse practitioners,Quebec,Lanaudière Region,22,30,34,36,35,44,57,58,68,90,,,,,,,,,,,,,,
Nurse practitioners,Quebec,Laurentides Region,21,27,26,28,31,36,53,68,85,94,,,,,,,,,,,,,,
Nurse practitioners,Quebec,Montérégie Region,30,40,53,64,71,79,122,154,177,203,,,,,,,,,,,,,,
Nurse practitioners,Quebec,Nunavik Region,0,0,1,1,0,0,0,3,3,4,,,,,,,,,,,,,,
Nurse practitioners,Quebec,Terres-Cries-de-la-Baie-James Region,1,1,2,2,1,0,0,0,0,2,,,,,,,,,,,,,,
Nurse practitioners,Quebec,Other*,1,0,0,0,0,0,0,0,0,47,,,,,,,,,,,,,,
Nurse practitioners,Ontario,Ontario (health regions) (total),"2,354","2,576","2,792","2,949","3,185","3,333","3,544","3,797","4,060","4,375",,,,,,,,,,,,,,
Nurse practitioners,Ontario,West Region,732,795,871,924,987,"1,031","1,097","1,159","1,218","1,299",,,,,,,,,,,,,,
Nurse practitioners,Ontario,Central Region,302,331,351,384,435,461,488,546,596,651,,,,,,,,,,,,,,
Nurse practitioners,Ontario,Toronto Region,534,606,665,704,766,815,875,932,"1,009","1,090",,,,,,,,,,,,,,
Nurse practitioners,Ontario,East Region,473,512,553,579,621,641,687,735,786,851,,,,,,,,,,,,,,
Nurse practitioners,Ontario,North East Region,213,211,217,221,223,232,245,257,269,284,,,,,,,,,,,,,,
Nurse practitioners,Ontario,North West Region,100,119,132,137,151,151,150,168,182,200,,,,,,,,,,,,,,
Nurse practitioners,Ontario,Other*,0,2,3,0,2,2,2,0,0,0,,,,,,,,,,,,,,
Nurse practitioners,Manitoba,Manitoba (regional health authorities) (total),126,138,153,167,—,—,—,—,—,—,,,,,,,,,,,,,,
Nurse practitioners,Manitoba,Winnipeg–Churchill Health Region,79,86,95,104,—,—,—,—,—,—,,,,,,,,,,,,,,
Nurse practitioners,Manitoba,Prairie Mountain Health Region,14,17,17,21,—,—,—,—,—,—,,,,,,,,,,,,,,
Nurse practitioners,Manitoba,Interlake–Eastern Health Region,15,14,18,19,—,—,—,—,—,—,,,,,,,,,,,,,,
Nurse practitioners,Manitoba,Northern Health Region,6,7,5,5,—,—,—,—,—,—,,,,,,,,,,,,,,
Nurse practitioners,Manitoba,Southern Health Region,12,14,18,18,—,—,—,—,—,—,,,,,,,,,,,,,,
Nurse practitioners,Manitoba,Other*,0,0,0,0,—,—,—,—,—,—,,,,,,,,,,,,,,
Nurse practitioners,Saskatchewan,Saskatchewan (regional health authorities) (total),157,175,189,194,225,196,209,236,244,226,,,,,,,,,,,,,,
Nurse practitioners,Saskatchewan,Far North Zone,15,14,14,14,22,19,19,19,18,16,,,,,,,,,,,,,,
Nurse practitioners,Saskatchewan,North Central West Zone,17,20,23,23,22,18,16,20,19,18,,,,,,,,,,,,,,
Nurse practitioners,Saskatchewan,North Central East Zone,28,32,35,39,45,29,33,36,37,35,,,,,,,,,,,,,,
Nurse practitioners,Saskatchewan,Saskatoon Zone,29,34,33,36,40,49,51,51,64,63,,,,,,,,,,,,,,
Nurse practitioners,Saskatchewan,South West Zone,25,27,26,25,30,22,22,25,29,23,,,,,,,,,,,,,,
Nurse practitioners,Saskatchewan,South East Zone,27,28,32,33,37,31,33,37,40,35,,,,,,,,,,,,,,
Nurse practitioners,Saskatchewan,Regina Zone,16,20,26,24,29,28,35,47,37,36,,,,,,,,,,,,,,
Nurse practitioners,Saskatchewan,Other*,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,
Nurse practitioners,Alberta,Alberta (regional health authorities) (total),320,398,424,475,530,549,573,581,640,—,,,,,,,,,,,,,,
Nurse practitioners,Alberta,South Zone,7,9,10,13,14,18,18,19,24,—,,,,,,,,,,,,,,
Nurse practitioners,Alberta,Calgary Zone,100,143,158,173,191,202,201,206,241,—,,,,,,,,,,,,,,
Nurse practitioners,Alberta,Central Zone,3,11,14,17,21,21,24,30,34,—,,,,,,,,,,,,,,
Nurse practitioners,Alberta,Edmonton Zone,197,204,218,239,271,271,292,285,302,—,,,,,,,,,,,,,,
Nurse practitioners,Alberta,North Zone,12,26,24,33,33,37,38,40,39,—,,,,,,,,,,,,,,
Nurse practitioners,Alberta,Other*,1,5,0,0,0,0,0,1,0,—,,,,,,,,,,,,,,
Nurse practitioners,British Columbia,British Columbia (health service delivery areas) (total),202,224,309,343,420,485,577,665,764,861,,,,,,,,,,,,,,
Nurse practitioners,British Columbia,East Kootenay HSDA,4,1,5,4,4,4,5,8,9,9,,,,,,,,,,,,,,
Nurse practitioners,British Columbia,Kootenay–Boundary HSDA,5,2,5,6,9,10,11,10,13,13,,,,,,,,,,,,,,
Nurse practitioners,British Columbia,Okanagan HSDA,13,13,23,31,30,37,50,52,66,67,,,,,,,,,,,,,,
Nurse practitioners,British Columbia,Thompson/Cariboo HSDA,9,12,22,21,24,23,27,30,32,35,,,,,,,,,,,,,,
Nurse practitioners,British Columbia,Fraser East HSDA,8,9,18,17,30,33,35,42,43,43,,,,,,,,,,,,,,
Nurse practitioners,British Columbia,Fraser North HSDA,19,19,23,32,26,41,51,62,76,87,,,,,,,,,,,,,,
Nurse practitioners,British Columbia,Fraser South HSDA,17,23,30,30,44,52,57,63,63,73,,,,,,,,,,,,,,
Nurse practitioners,British Columbia,Richmond HSDA,0,1,1,1,2,3,4,10,11,18,,,,,,,,,,,,,,
Nurse practitioners,British Columbia,Vancouver HSDA,69,83,94,106,121,137,179,185,219,252,,,,,,,,,,,,,,
Nurse practitioners,British Columbia,North Shore/Coast Garibaldi HSDA,5,9,10,14,20,24,21,29,37,51,,,,,,,,,,,,,,
Nurse practitioners,British Columbia,South Vancouver Island HSDA,16,14,28,25,32,44,45,60,75,84,,,,,,,,,,,,,,
Nurse practitioners,British Columbia,Central Vancouver Island HSDA,8,9,15,24,27,26,38,45,51,52,,,,,,,,,,,,,,
Nurse practitioners,British Columbia,North Vancouver Island HSDA,9,11,11,10,13,14,12,18,19,27,,,,,,,,,,,,,,
Nurse practitioners,British Columbia,Northwest HSDA,3,2,4,2,7,9,11,14,18,14,,,,,,,,,,,,,,
Nurse practitioners,British Columbia,Northern Interior HSDA,15,11,14,20,27,20,22,27,24,28,,,,,,,,,,,,,,
Nurse practitioners,British Columbia,Northeast HSDA,2,4,4,0,3,5,5,4,6,7,,,,,,,,,,,,,,
Nurse practitioners,British Columbia,Other*,0,1,2,0,1,3,4,6,2,1,,,,,,,,,,,,,,
Nurse practitioners,Yukon,Yukon (total)†,3,4,6,7,10,14,22,20,16,—,,,,,,,,,,,,,,
Nurse practitioners,Northwest Territories/Nunavut,Northwest Territories/Nunavut (total)†,39,32,46,44,38,40,45,—,—,—,,,,,,,,,,,,,,
Nurse practitioners,Jurisdictions with available data,Jurisdictions with available data (total),"3,874","4,316","4,775","5,125","5,456","5,832","6,441","7,113","7,841","7,477",,,,,,,,,,,,,,
Registered nurses,Newfoundland and Labrador,Newfoundland and Labrador (regional integrated health authorities) (total),"5,312","5,268","5,253","5,141","5,089","5,119","5,188","5,183","5,240","5,412",,,,,,,,,,,,,,
Registered nurses,Newfoundland and Labrador,Eastern–Urban Zone,"2,901","2,886","2,834","2,775","2,765","2,787","2,837","2,878","2,932","3,091",,,,,,,,,,,,,,
Registered nurses,Newfoundland and Labrador,Eastern–Rural Zone,612,596,611,613,595,601,603,591,589,569,,,,,,,,,,,,,,
Registered nurses,Newfoundland and Labrador,Central Zone,672,686,706,684,671,662,685,650,652,656,,,,,,,,,,,,,,
Registered nurses,Newfoundland and Labrador,Western Zone,779,772,758,737,734,721,733,727,731,737,,,,,,,,,,,,,,
Registered nurses,Newfoundland and Labrador,Labrador–Grenfell Zone,347,327,344,332,322,325,303,309,300,323,,,,,,,,,,,,,,
Registered nurses,Newfoundland and Labrador,Other*,1,1,0,0,2,23,27,28,36,36,,,,,,,,,,,,,,
Registered nurses,Prince Edward Island,Prince Edward Island (total),"1,336","1,318","1,348","1,357","1,404","1,398",—,—,"1,596",—,,,,,,,,,,,,,,
Registered nurses,Prince Edward Island,Health PEI,"1,336","1,318","1,348","1,357","1,404","1,398",—,—,"1,596",—,,,,,,,,,,,,,,
Registered nurses,Nova Scotia,Nova Scotia (district health authorities) (total),"8,228","8,206","8,205","8,129","8,198","8,441","8,672","8,820","9,050",—,,,,,,,,,,,,,,
Registered nurses,Nova Scotia,Western Zone,"1,289","1,258","1,259","1,251","1,268","1,319","1,355","1,371",844,—,,,,,,,,,,,,,,
Registered nurses,Nova Scotia,Northern Zone,"1,041","1,006","1,000",986,981,"1,006","1,046","1,058",617,—,,,,,,,,,,,,,,
Registered nurses,Nova Scotia,Eastern Zone,"1,710","1,702","1,696","1,688","1,703","1,714","1,727","1,738","1,030",—,,,,,,,,,,,,,,
Registered nurses,Nova Scotia,Central Zone,"4,125","4,170","4,214","4,172","4,203","4,352","4,475","4,604","5,335",—,,,,,,,,,,,,,,
Registered nurses,Nova Scotia,Other*,63,70,36,32,43,50,69,49,"1,224",—,,,,,,,,,,,,,,
Registered nurses,New Brunswick,New Brunswick (total),"6,935","6,858","6,881","6,844","6,925","6,912","6,794","6,687","5,998","7,058",,,,,,,,,,,,,,
Registered nurses,New Brunswick,Zone 1 (Moncton Area),"1,966","1,966","1,976","1,973","1,995","2,021","1,968","1,916","1,683","2,079",,,,,,,,,,,,,,
Registered nurses,New Brunswick,Zone 2 (Saint John Area),"1,707","1,685","1,679","1,681","1,691","1,699","1,667","1,646","1,413","1,582",,,,,,,,,,,,,,
Registered nurses,New Brunswick,Zone 3 (Fredericton Area),"1,306","1,274","1,315","1,313","1,356","1,346","1,352","1,349","1,207","1,393",,,,,,,,,,,,,,
Registered nurses,New Brunswick,Zone 4 (Edmundston Area),486,485,481,482,475,456,451,464,383,447,,,,,,,,,,,,,,
Registered nurses,New Brunswick,Zone 5 (Campbellton Area),380,362,351,338,335,324,305,292,227,270,,,,,,,,,,,,,,
Registered nurses,New Brunswick,Zone 6 (Bathurst Area),707,702,696,679,688,693,680,668,606,689,,,,,,,,,,,,,,
Registered nurses,New Brunswick,Zone 7 (Miramichi Area),383,382,383,378,384,373,365,352,286,374,,,,,,,,,,,,,,
Registered nurses,New Brunswick,Other*,0,2,0,0,1,0,6,0,193,224,,,,,,,,,,,,,,
Registered nurses,Quebec,Quebec (health regions) (total),"59,746","59,919","60,439","61,591","61,585","61,812","64,079","64,631","66,019","66,598",,,,,,,,,,,,,,
Registered nurses,Quebec,Bas-Saint-Laurent Region,"1,658","1,642","1,599","1,574","1,549","1,544","1,561","1,567","1,609","1,584",,,,,,,,,,,,,,
Registered nurses,Quebec,Saguenay–Lac-Saint-Jean Region,"2,332","2,328","2,309","2,331","2,339","2,314","2,339","2,336","2,380","2,396",,,,,,,,,,,,,,
Registered nurses,Quebec,Capitale-Nationale Region,"7,914","7,897","7,948","8,021","7,998","8,034","8,200","8,144","8,257","8,393",,,,,,,,,,,,,,
Registered nurses,Quebec,Mauricie et Centre-du-Québec Region,"3,522","3,516","3,550","3,546","3,558","3,550","3,608","3,600","3,714","3,658",,,,,,,,,,,,,,
Registered nurses,Quebec,Estrie Region,"3,477","3,540","3,573","3,587","3,611","3,658","3,768","3,743","3,888","3,924",,,,,,,,,,,,,,
Registered nurses,Quebec,Montréal Region,"19,625","19,585","19,720","20,369","20,521","20,585","21,368","21,553","21,582","21,952",,,,,,,,,,,,,,
Registered nurses,Quebec,Outaouais Region,"1,890","1,896","1,926","1,964","1,919","1,954","1,984","1,967","1,976","1,957",,,,,,,,,,,,,,
Registered nurses,Quebec,Abitibi-Témiscamingue Region,"1,135","1,121","1,114","1,126","1,073","1,080","1,107","1,106","1,153","1,170",,,,,,,,,,,,,,
Registered nurses,Quebec,Côte-Nord Region,776,784,786,773,738,720,742,731,732,745,,,,,,,,,,,,,,
Registered nurses,Quebec,Nord-du-Québec Region,142,148,140,129,129,125,131,129,122,124,,,,,,,,,,,,,,
Registered nurses,Quebec,Gaspésie–Îles-de-la-Madeleine Region,822,828,820,813,786,792,808,823,885,867,,,,,,,,,,,,,,
Registered nurses,Quebec,Chaudière-Appalaches Region,"2,427","2,433","2,426","2,472","2,463","2,450","2,502","2,572","2,605","2,578",,,,,,,,,,,,,,
Registered nurses,Quebec,Laval Region,"1,928","2,120","2,220","2,269","2,168","2,301","2,524","2,614","2,772","2,831",,,,,,,,,,,,,,
Registered nurses,Quebec,Lanaudière Region,"2,352","2,303","2,319","2,376","2,405","2,360","2,442","2,477","2,585","2,664",,,,,,,,,,,,,,
Registered nurses,Quebec,Laurentides Region,"2,890","2,903","2,958","3,001","3,014","3,030","3,305","3,402","3,506","3,550",,,,,,,,,,,,,,
Registered nurses,Quebec,Montérégie Region,"6,448","6,501","6,657","6,848","6,917","6,908","7,222","7,379","7,554","7,598",,,,,,,,,,,,,,
Registered nurses,Quebec,Nunavik Region,194,202,190,205,202,205,243,261,262,271,,,,,,,,,,,,,,
Registered nurses,Quebec,Terres-Cries-de-la-Baie-James Region,157,171,184,187,195,202,225,224,229,250,,,,,,,,,,,,,,
Registered nurses,Quebec,Other*,57,1,0,0,0,0,0,3,208,86,,,,,,,,,,,,,,
Registered nurses,Ontario,Ontario (health regions) (total),"86,757","86,666","86,246","86,636","88,380","88,752","89,915","90,692","92,238","96,715",,,,,,,,,,,,,,
Registered nurses,Ontario,West Region,"25,461","25,225","24,810","24,877","25,228","25,240","25,437","25,503","25,767","27,059",,,,,,,,,,,,,,
Registered nurses,Ontario,Central Region,"13,960","14,203","14,343","14,562","15,137","15,306","15,669","16,075","17,051","18,138",,,,,,,,,,,,,,
Registered nurses,Ontario,Toronto Region,"21,947","22,026","22,022","22,074","22,556","22,631","22,905","23,063","23,441","24,656",,,,,,,,,,,,,,
Registered nurses,Ontario,East Region,"18,278","18,199","18,085","18,182","18,460","18,498","18,771","18,874","18,908","19,510",,,,,,,,,,,,,,
Registered nurses,Ontario,North East Region,"4,769","4,685","4,693","4,648","4,635","4,669","4,712","4,791","4,701","4,868",,,,,,,,,,,,,,
Registered nurses,Ontario,North West Region,"2,332","2,301","2,272","2,290","2,349","2,390","2,402","2,368","2,353","2,466",,,,,,,,,,,,,,
Registered nurses,Ontario,Other*,10,27,21,3,15,18,19,18,17,18,,,,,,,,,,,,,,
Registered nurses,Manitoba,Manitoba (regional health authorities) (total),"9,760","9,826","10,733","10,173",—,—,—,—,—,—,,,,,,,,,,,,,,
Registered nurses,Manitoba,Winnipeg–Churchill Health Region,"6,200","6,224","6,778","6,447",—,—,—,—,—,—,,,,,,,,,,,,,,
Registered nurses,Manitoba,Prairie Mountain Health Region,"1,149","1,137","1,227","1,140",—,—,—,—,—,—,,,,,,,,,,,,,,
Registered nurses,Manitoba,Interlake–Eastern Health Region,916,909,"1,004",974,—,—,—,—,—,—,,,,,,,,,,,,,,
Registered nurses,Manitoba,Northern Health Region,355,369,414,394,—,—,—,—,—,—,,,,,,,,,,,,,,
Registered nurses,Manitoba,Southern Health Region,"1,135","1,186","1,296","1,215",—,—,—,—,—,—,,,,,,,,,,,,,,
Registered nurses,Manitoba,Other*,5,1,14,3,—,—,—,—,—,—,,,,,,,,,,,,,,
Registered nurses,Saskatchewan,Saskatchewan (regional health authorities) (total),"9,030","9,211","9,350","9,458","9,770","9,688","9,870","10,095","10,252","10,465",,,,,,,,,,,,,,
Registered nurses,Saskatchewan,Far North Zone,114,129,143,130,134,144,150,144,137,136,,,,,,,,,,,,,,
Registered nurses,Saskatchewan,North Central West Zone,641,621,625,640,646,627,612,603,596,591,,,,,,,,,,,,,,
Registered nurses,Saskatchewan,North Central East Zone,780,800,810,870,887,865,866,871,867,846,,,,,,,,,,,,,,
Registered nurses,Saskatchewan,Saskatoon Zone,"3,110","3,283","3,335","3,368","3,496","3,667","3,861","3,994","4,295","4,548",,,,,,,,,,,,,,
Registered nurses,Saskatchewan,South West Zone,836,850,856,848,869,810,789,788,774,773,,,,,,,,,,,,,,
Registered nurses,Saskatchewan,South East Zone,"1,090","1,070","1,090","1,109","1,143","1,053","1,052","1,045","1,029","1,058",,,,,,,,,,,,,,
Registered nurses,Saskatchewan,Regina Zone,"2,449","2,445","2,485","2,490","2,586","2,522","2,538","2,641","2,542","2,490",,,,,,,,,,,,,,
Registered nurses,Saskatchewan,Other*,10,13,6,3,9,0,2,9,12,23,,,,,,,,,,,,,,
Registered nurses,Alberta,Alberta (regional health authorities) (total),"29,736","30,808","31,323","31,585","32,104","32,304","32,097","32,109","31,533",—,,,,,,,,,,,,,,
Registered nurses,Alberta,South Zone,"1,901","2,054","2,120","2,201","2,217","2,230","2,215","2,248","2,210",—,,,,,,,,,,,,,,
Registered nurses,Alberta,Calgary Zone,"10,741","11,702","12,088","12,120","12,289","12,464","12,484","12,576","12,428",—,,,,,,,,,,,,,,
Registered nurses,Alberta,Central Zone,"2,842","3,053","3,113","3,145","3,170","3,163","3,131","3,050","2,954",—,,,,,,,,,,,,,,
Registered nurses,Alberta,Edmonton Zone,"12,411","11,725","11,907","11,919","12,116","12,129","11,986","11,988","11,695",—,,,,,,,,,,,,,,
Registered nurses,Alberta,North Zone,"1,811","1,992","2,094","2,200","2,300","2,297","2,255","2,215","2,203",—,,,,,,,,,,,,,,
Registered nurses,Alberta,Other*,30,282,1,0,12,21,26,32,43,—,,,,,,,,,,,,,,
Registered nurses,British Columbia,British Columbia (health service delivery areas) (total),"29,138","29,762","31,820","32,321","31,375","32,980","34,904","35,392","35,853","37,313",,,,,,,,,,,,,,
Registered nurses,British Columbia,East Kootenay HSDA,423,459,465,490,461,486,514,533,551,607,,,,,,,,,,,,,,
Registered nurses,British Columbia,Kootenay–Boundary HSDA,480,498,524,525,528,552,596,596,602,642,,,,,,,,,,,,,,
Registered nurses,British Columbia,Okanagan HSDA,"2,394","2,482","2,679","2,733","2,686","2,815","2,992","3,081","3,099","3,231",,,,,,,,,,,,,,
