Type of professional,Province/territory,Health region,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,,,,,,,,,
Registered nurses,British Columbia,Thompson/Cariboo HSDA,"1,356","1,414","1,531","1,525","1,469","1,546","1,625","1,579","1,601","1,631",,,,,,,,,,,,,,
Registered nurses,British Columbia,Fraser East HSDA,"1,670","1,692","1,836","1,878","1,815","1,881","1,953","1,961","2,035","2,149",,,,,,,,,,,,,,
Registered nurses,British Columbia,Fraser North HSDA,"3,393","3,468","3,669","3,625","3,477","3,670","3,827","3,876","3,953","4,096",,,,,,,,,,,,,,
Registered nurses,British Columbia,Fraser South HSDA,"3,584","3,685","3,876","3,974","3,811","3,975","4,243","4,309","4,329","4,475",,,,,,,,,,,,,,
Registered nurses,British Columbia,Richmond HSDA,686,706,742,724,696,770,842,812,820,851,,,,,,,,,,,,,,
Registered nurses,British Columbia,Vancouver HSDA,"6,801","6,838","7,266","7,482","7,297","7,687","8,105","8,321","8,498","8,793",,,,,,,,,,,,,,
Registered nurses,British Columbia,North Shore/Coast Garibaldi HSDA,"1,330","1,356","1,448","1,465","1,402","1,493","1,610","1,611","1,656","1,744",,,,,,,,,,,,,,
Registered nurses,British Columbia,South Vancouver Island HSDA,"3,030","2,998","3,197","3,259","3,169","3,305","3,545","3,599","3,578","3,687",,,,,,,,,,,,,,
Registered nurses,British Columbia,Central Vancouver Island HSDA,"1,555","1,605","1,826","1,884","1,850","1,900","2,006","2,017","2,021","2,114",,,,,,,,,,,,,,
Registered nurses,British Columbia,North Vancouver Island HSDA,757,736,793,896,889,924,985,"1,038","1,051","1,114",,,,,,,,,,,,,,
Registered nurses,British Columbia,Northwest HSDA,424,402,444,451,423,462,494,493,494,515,,,,,,,,,,,,,,
Registered nurses,British Columbia,Northern Interior HSDA,943,982,"1,068","1,088","1,072","1,159","1,214","1,239","1,246","1,326",,,,,,,,,,,,,,
Registered nurses,British Columbia,Northeast HSDA,258,268,286,259,262,265,259,260,254,270,,,,,,,,,,,,,,
Registered nurses,British Columbia,Other*,54,173,170,63,68,90,94,67,65,68,,,,,,,,,,,,,,
Registered nurses,Yukon,Yukon (total)†,345,350,376,398,399,451,478,556,532,491,,,,,,,,,,,,,,
Registered nurses,Northwest Territories/Nunavut,Northwest Territories/Nunavut (total)†,892,902,853,719,591,842,894,"1,000",965,—,,,,,,,,,,,,,,
Registered nurses,Jurisdictions with available data,Jurisdictions with available data (total),"247,215","249,094","252,827","254,352","245,820","248,699","252,891","255,165","259,276","224,052",,,,,,,,,,,,,,
Registered psychiatric nurses,Manitoba,Manitoba (regional health authorities) (total),802,829,864,851,834,867,904,928,950,960,,,,,,,,,,,,,,
Registered psychiatric nurses,Manitoba,Winnipeg–Churchill Health Region,296,309,326,335,333,348,390,427,438,450,,,,,,,,,,,,,,
Registered psychiatric nurses,Manitoba,Prairie Mountain Health Region,234,245,247,243,233,244,239,234,243,244,,,,,,,,,,,,,,
Registered psychiatric nurses,Manitoba,Interlake–Eastern Health Region,160,162,176,166,167,174,170,172,173,176,,,,,,,,,,,,,,
Registered psychiatric nurses,Manitoba,Northern Health Region,12,14,16,15,13,14,13,11,13,13,,,,,,,,,,,,,,
Registered psychiatric nurses,Manitoba,Southern Health Region,90,91,91,86,79,75,79,74,71,75,,,,,,,,,,,,,,
Registered psychiatric nurses,Manitoba,Other*,10,8,8,6,9,12,13,10,12,2,,,,,,,,,,,,,,
Registered psychiatric nurses,Saskatchewan,Saskatchewan (regional health authorities) (total),746,712,687,653,621,620,640,604,599,648,,,,,,,,,,,,,,
Registered psychiatric nurses,Saskatchewan,Far North Zone,5,3,3,4,5,3,2,3,2,2,,,,,,,,,,,,,,
Registered psychiatric nurses,Saskatchewan,North Central West Zone,90,81,83,87,78,82,81,72,73,87,,,,,,,,,,,,,,
Registered psychiatric nurses,Saskatchewan,North Central East Zone,66,60,60,56,47,46,48,45,46,48,,,,,,,,,,,,,,
Registered psychiatric nurses,Saskatchewan,Saskatoon Zone,103,132,117,95,99,97,109,105,96,103,,,,,,,,,,,,,,
Registered psychiatric nurses,Saskatchewan,South West Zone,112,95,90,83,68,61,62,61,55,63,,,,,,,,,,,,,,
Registered psychiatric nurses,Saskatchewan,South East Zone,120,117,112,117,109,113,112,102,97,106,,,,,,,,,,,,,,
Registered psychiatric nurses,Saskatchewan,Regina Zone,248,210,208,207,211,212,219,215,229,236,,,,,,,,,,,,,,
Registered psychiatric nurses,Saskatchewan,Other*,2,14,14,4,4,6,7,1,1,3,,,,,,,,,,,,,,
Registered psychiatric nurses,Alberta,Alberta (regional health authorities) (total),"1,114","1,084","1,093","1,093","1,087","1,080","1,066","1,083","1,108","1,114",,,,,,,,,,,,,,
Registered psychiatric nurses,Alberta,South Zone,46,42,40,39,33,32,31,34,33,31,,,,,,,,,,,,,,
Registered psychiatric nurses,Alberta,Calgary Zone,212,209,200,201,196,202,191,192,203,206,,,,,,,,,,,,,,
Registered psychiatric nurses,Alberta,Central Zone,337,329,337,334,336,324,319,311,317,316,,,,,,,,,,,,,,
Registered psychiatric nurses,Alberta,Edmonton Zone,466,452,458,461,466,470,474,490,492,499,,,,,,,,,,,,,,
Registered psychiatric nurses,Alberta,North Zone,49,41,48,49,44,45,43,47,52,55,,,,,,,,,,,,,,
Registered psychiatric nurses,Alberta,Other*,4,11,10,9,12,7,8,9,11,7,,,,,,,,,,,,,,
Registered psychiatric nurses,British Columbia,British Columbia (health service delivery areas) (total),"2,088","2,231","2,261","2,253",—,"2,622","2,829","2,936","3,030","3,179",,,,,,,,,,,,,,
Registered psychiatric nurses,British Columbia,East Kootenay HSDA,12,13,15,14,—,16,14,15,18,17,,,,,,,,,,,,,,
Registered psychiatric nurses,British Columbia,Kootenay–Boundary HSDA,23,23,25,26,—,29,33,35,36,38,,,,,,,,,,,,,,
Registered psychiatric nurses,British Columbia,Okanagan HSDA,137,160,164,176,—,183,200,209,217,226,,,,,,,,,,,,,,
Registered psychiatric nurses,British Columbia,Thompson/Cariboo HSDA,99,102,106,106,—,133,152,151,155,176,,,,,,,,,,,,,,
Registered psychiatric nurses,British Columbia,Fraser East HSDA,174,185,176,185,—,233,246,241,245,261,,,,,,,,,,,,,,
Registered psychiatric nurses,British Columbia,Fraser North HSDA,444,475,471,445,—,525,569,608,609,624,,,,,,,,,,,,,,
Registered psychiatric nurses,British Columbia,Fraser South HSDA,356,386,380,376,—,434,472,473,516,551,,,,,,,,,,,,,,
Registered psychiatric nurses,British Columbia,Richmond HSDA,37,48,48,48,—,41,47,50,51,56,,,,,,,,,,,,,,
Registered psychiatric nurses,British Columbia,Vancouver HSDA,404,425,453,459,—,523,552,588,615,640,,,,,,,,,,,,,,
Registered psychiatric nurses,British Columbia,North Shore/Coast Garibaldi HSDA,85,87,96,96,—,110,128,136,139,132,,,,,,,,,,,,,,
Registered psychiatric nurses,British Columbia,South Vancouver Island HSDA,109,117,116,111,—,120,131,133,129,134,,,,,,,,,,,,,,
Registered psychiatric nurses,British Columbia,Central Vancouver Island HSDA,104,110,111,116,—,131,138,151,150,154,,,,,,,,,,,,,,
Registered psychiatric nurses,British Columbia,North Vancouver Island HSDA,31,31,33,31,—,39,46,55,55,55,,,,,,,,,,,,,,
Registered psychiatric nurses,British Columbia,Northwest HSDA,13,11,9,8,—,13,13,14,14,15,,,,,,,,,,,,,,
Registered psychiatric nurses,British Columbia,Northern Interior HSDA,29,33,35,34,—,24,30,32,37,48,,,,,,,,,,,,,,
Registered psychiatric nurses,British Columbia,Northeast HSDA,16,21,21,21,—,26,24,28,31,38,,,,,,,,,,,,,,
Registered psychiatric nurses,British Columbia,Other*,15,4,2,1,—,42,34,17,13,14,,,,,,,,,,,,,,
Registered psychiatric nurses,Yukon,Yukon (total)†,—,—,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,
Registered psychiatric nurses,Northwest Territories/Nunavut,Northwest Territories/Nunavut (total)†,—,—,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,
Registered psychiatric nurses,Jurisdictions with available data,Jurisdictions with available data (total),"4,750","4,856","4,905","4,850","2,542","5,189","5,439","5,551","5,687","5,901",,,,,,,,,,,,,,
Licensed practical nurses,Newfoundland and Labrador,Newfoundland and Labrador (regional integrated health authorities) (total),"2,235","2,226","2,294","2,274","2,277","2,201","2,299","2,333","2,193","2,120",,,,,,,,,,,,,,
Licensed practical nurses,Newfoundland and Labrador,Eastern–Urban Zone,815,788,849,837,834,784,823,833,777,686,,,,,,,,,,,,,,
Licensed practical nurses,Newfoundland and Labrador,Eastern–Rural Zone,371,382,348,359,363,384,402,414,392,328,,,,,,,,,,,,,,
Licensed practical nurses,Newfoundland and Labrador,Central Zone,478,485,507,512,510,470,481,498,469,410,,,,,,,,,,,,,,
Licensed practical nurses,Newfoundland and Labrador,Western Zone,414,406,417,403,399,401,420,418,388,356,,,,,,,,,,,,,,
Licensed practical nurses,Newfoundland and Labrador,Labrador–Grenfell Zone,157,161,172,162,166,160,170,170,162,149,,,,,,,,,,,,,,
Licensed practical nurses,Newfoundland and Labrador,Other*,0,4,1,1,5,2,3,0,5,191,,,,,,,,,,,,,,
Licensed practical nurses,Prince Edward Island,Prince Edward Island (total),506,531,553,531,—,705,693,712,719,739,,,,,,,,,,,,,,
Licensed practical nurses,Prince Edward Island,Health PEI,506,531,553,531,—,705,693,712,719,739,,,,,,,,,,,,,,
Licensed practical nurses,Nova Scotia,Nova Scotia (district health authorities) (total),"3,736","3,803","3,942","3,982","4,044","4,071","4,179","4,344","4,292",—,,,,,,,,,,,,,,
Licensed practical nurses,Nova Scotia,Western Zone,931,945,985,967,999,975,993,"1,036","1,011",—,,,,,,,,,,,,,,
Licensed practical nurses,Nova Scotia,Northern Zone,569,583,609,622,657,693,711,751,729,—,,,,,,,,,,,,,,
Licensed practical nurses,Nova Scotia,Eastern Zone,930,933,950,956,946,943,971,"1,013",989,—,,,,,,,,,,,,,,
Licensed practical nurses,Nova Scotia,Central Zone,"1,304","1,341","1,398","1,436","1,442","1,460","1,504","1,542","1,436",—,,,,,,,,,,,,,,
Licensed practical nurses,Nova Scotia,Other*,2,1,0,1,0,0,0,2,127,—,,,,,,,,,,,,,,
Licensed practical nurses,New Brunswick,New Brunswick (total),"2,875","2,923","2,904","2,963",—,"2,671","2,832","2,917","3,075","3,085",,,,,,,,,,,,,,
Licensed practical nurses,New Brunswick,Zone 1 (Moncton Area),591,597,607,630,—,559,564,577,590,635,,,,,,,,,,,,,,
Licensed practical nurses,New Brunswick,Zone 2 (Saint John Area),749,762,750,776,—,702,605,641,650,684,,,,,,,,,,,,,,
Licensed practical nurses,New Brunswick,Zone 3 (Fredericton Area),599,633,641,664,—,590,834,862,955,922,,,,,,,,,,,,,,
Licensed practical nurses,New Brunswick,Zone 4 (Edmundston Area),217,217,211,211,—,187,182,187,196,194,,,,,,,,,,,,,,
Licensed practical nurses,New Brunswick,Zone 5 (Campbellton Area),173,174,158,152,—,138,64,68,84,74,,,,,,,,,,,,,,
Licensed practical nurses,New Brunswick,Zone 6 (Bathurst Area),379,376,362,359,—,318,279,289,298,274,,,,,,,,,,,,,,
Licensed practical nurses,New Brunswick,Zone 7 (Miramichi Area),160,157,159,162,—,155,149,151,155,158,,,,,,,,,,,,,,
Licensed practical nurses,New Brunswick,Other*,7,7,16,9,—,22,155,142,147,144,,,,,,,,,,,,,,
Licensed practical nurses,Quebec,Quebec (health regions) (total),"24,268","24,021","23,644","22,929","23,824","25,391","24,513","24,222","24,720","25,873",,,,,,,,,,,,,,
Licensed practical nurses,Quebec,Bas-Saint-Laurent Region,719,720,699,663,665,683,661,632,626,651,,,,,,,,,,,,,,
Licensed practical nurses,Quebec,Saguenay–Lac-Saint-Jean Region,981,913,893,860,855,895,832,819,827,842,,,,,,,,,,,,,,
Licensed practical nurses,Quebec,Capitale-Nationale Region,"2,569","2,538","2,499","2,378","2,442","2,608","2,407","2,296","2,277","2,358",,,,,,,,,,,,,,
Licensed practical nurses,Quebec,Mauricie et Centre-du-Québec Region,"1,466","1,445","1,422","1,332","1,372","1,447","1,420","1,376","1,398","1,468",,,,,,,,,,,,,,
Licensed practical nurses,Quebec,Estrie Region,"1,479","1,492","1,489","1,478","1,534","1,583","1,526","1,486","1,465","1,495",,,,,,,,,,,,,,
Licensed practical nurses,Quebec,Montréal Region,"7,486","7,304","7,029","6,884","7,092","7,546","7,321","7,343","7,474","7,889",,,,,,,,,,,,,,
Licensed practical nurses,Quebec,Outaouais Region,813,798,796,765,774,814,783,774,764,808,,,,,,,,,,,,,,
Licensed practical nurses,Quebec,Abitibi-Témiscamingue Region,443,442,450,429,408,442,444,428,452,455,,,,,,,,,,,,,,
Licensed practical nurses,Quebec,Côte-Nord Region,249,237,240,236,248,273,264,252,253,250,,,,,,,,,,,,,,
Licensed practical nurses,Quebec,Nord-du-Québec Region,50,49,47,43,44,42,42,39,34,34,,,,,,,,,,,,,,
Licensed practical nurses,Quebec,Gaspésie–Îles-de-la-Madeleine Region,418,394,369,355,364,374,348,354,346,387,,,,,,,,,,,,,,
Licensed practical nurses,Quebec,Chaudière-Appalaches Region,"1,111","1,093","1,085","1,033","1,053","1,093","1,070","1,020","1,050","1,098",,,,,,,,,,,,,,
Licensed practical nurses,Quebec,Laval Region,942,"1,028","1,115","1,072","1,145","1,269","1,260","1,279","1,344","1,389",,,,,,,,,,,,,,
Licensed practical nurses,Quebec,Lanaudière Region,"1,012","1,004","1,014","1,011","1,080","1,188","1,185","1,222","1,282","1,364",,,,,,,,,,,,,,
Licensed practical nurses,Quebec,Laurentides Region,"1,504","1,501","1,492","1,454","1,567","1,711","1,692","1,667","1,781","1,861",,,,,,,,,,,,,,
Licensed practical nurses,Quebec,Montérégie Region,"3,011","3,049","2,996","2,928","3,174","3,410","3,243","3,215","3,321","3,495",,,,,,,,,,,,,,
Licensed practical nurses,Quebec,Nunavik Region,11,10,9,8,7,13,11,12,12,16,,,,,,,,,,,,,,
Licensed practical nurses,Quebec,Terres-Cries-de-la-Baie-James Region,0,0,0,0,0,0,0,4,9,8,,,,,,,,,,,,,,
Licensed practical nurses,Quebec,Other*,4,4,0,0,0,0,4,4,5,5,,,,,,,,,,,,,,
Licensed practical nurses,Ontario,Ontario (health regions) (total),"37,871","40,146","41,670","43,582","45,971","47,209","48,021","49,535","50,606","51,326",,,,,,,,,,,,,,
Licensed practical nurses,Ontario,West Region,"12,425","13,055","13,575","14,121","14,820","15,109","15,452","15,606","15,927","16,255",,,,,,,,,,,,,,
Licensed practical nurses,Ontario,Central Region,"6,384","6,985","7,411","7,965","8,419","8,693","8,770","9,409","9,810","9,803",,,,,,,,,,,,,,
Licensed practical nurses,Ontario,Toronto Region,"6,676","7,094","7,505","7,930","8,432","8,782","9,188","9,706","9,862","9,879",,,,,,,,,,,,,,
Licensed practical nurses,Ontario,East Region,"8,516","9,047","9,207","9,495","10,095","10,340","10,371","10,545","10,736","11,070",,,,,,,,,,,,,,
Licensed practical nurses,Ontario,North East Region,"2,678","2,740","2,762","2,860","2,949","2,980","2,962","2,982","2,992","3,042",,,,,,,,,,,,,,
Licensed practical nurses,Ontario,North West Region,"1,167","1,202","1,194","1,206","1,247","1,292","1,270","1,275","1,268","1,259",,,,,,,,,,,,,,
Licensed practical nurses,Ontario,Other*,25,23,16,5,9,13,8,12,11,18,,,,,,,,,,,,,,
Licensed practical nurses,Manitoba,Manitoba (regional health authorities) (total),"2,941","3,008","3,064","3,113","3,248","3,247","3,372","3,193","3,220","3,260",,,,,,,,,,,,,,
Licensed practical nurses,Manitoba,Winnipeg–Churchill Health Region,"1,193","1,235","1,248","1,306","1,360","1,383","1,462","1,429","1,432","1,443",,,,,,,,,,,,,,
Licensed practical nurses,Manitoba,Prairie Mountain Health Region,831,841,858,847,868,868,916,853,853,878,,,,,,,,,,,,,,
Licensed practical nurses,Manitoba,Interlake–Eastern Health Region,282,297,303,311,325,317,314,289,308,311,,,,,,,,,,,,,,
Licensed practical nurses,Manitoba,Northern Health Region,154,150,143,136,134,129,129,123,114,129,,,,,,,,,,,,,,
Licensed practical nurses,Manitoba,Southern Health Region,481,485,512,513,560,549,540,493,504,492,,,,,,,,,,,,,,
Licensed practical nurses,Manitoba,Other*,0,0,0,0,1,1,11,6,9,7,,,,,,,,,,,,,,
Licensed practical nurses,Saskatchewan,Saskatchewan (regional health authorities) (total),"3,073","3,188","3,159","3,104","3,027","3,275","3,255","3,261","3,348","3,381",,,,,,,,,,,,,,
Licensed practical nurses,Saskatchewan,Far North Zone,54,60,57,64,36,42,37,37,45,38,,,,,,,,,,,,,,
Licensed practical nurses,Saskatchewan,North Central West Zone,328,337,320,313,301,341,332,341,356,372,,,,,,,,,,,,,,
Licensed practical nurses,Saskatchewan,North Central East Zone,387,398,419,406,355,407,388,387,397,384,,,,,,,,,,,,,,
Licensed practical nurses,Saskatchewan,Saskatoon Zone,654,699,691,680,654,710,721,733,751,776,,,,,,,,,,,,,,
Licensed practical nurses,Saskatchewan,South West Zone,350,369,365,353,293,305,299,287,289,303,,,,,,,,,,,,,,
Licensed practical nurses,Saskatchewan,South East Zone,545,554,531,512,486,504,499,492,501,511,,,,,,,,,,,,,,
Licensed practical nurses,Saskatchewan,Regina Zone,749,767,774,775,704,774,797,794,804,784,,,,,,,,,,,,,,
Licensed practical nurses,Saskatchewan,Other*,6,4,2,1,198,192,182,190,205,213,,,,,,,,,,,,,,
Licensed practical nurses,Alberta,Alberta (regional health authorities) (total),"10,221","10,954","11,504","11,248","12,130","13,060","13,661","13,844","14,247","14,149",,,,,,,,,,,,,,
Licensed practical nurses,Alberta,South Zone,888,931,971,949,993,"1,045","1,068","1,048","1,082","1,129",,,,,,,,,,,,,,
Licensed practical nurses,Alberta,Calgary Zone,"3,031","3,316","3,580","3,459","3,813","4,141","4,399","4,474","4,692","4,684",,,,,,,,,,,,,,
Licensed practical nurses,Alberta,Central Zone,"1,468","1,533","1,610","1,558","1,679","1,768","1,824","1,824","1,829","1,799",,,,,,,,,,,,,,
Licensed practical nurses,Alberta,Edmonton Zone,"3,705","4,002","4,142","4,133","4,397","4,754","4,951","5,165","5,322","5,227",,,,,,,,,,,,,,
Licensed practical nurses,Alberta,North Zone,"1,129","1,172","1,201","1,149","1,198","1,274","1,322","1,316","1,307","1,293",,,,,,,,,,,,,,
Licensed practical nurses,Alberta,Other*,0,0,0,0,50,78,97,17,15,17,,,,,,,,,,,,,,
Licensed practical nurses,British Columbia,British Columbia (health service delivery areas) (total),"9,993","10,250","10,138","10,527","10,773","11,228","12,001","12,259","12,344","12,811",,,,,,,,,,,,,,
Licensed practical nurses,British Columbia,East Kootenay HSDA,228,215,209,223,228,237,246,256,262,279,,,,,,,,,,,,,,
Licensed practical nurses,British Columbia,Kootenay–Boundary HSDA,187,191,176,186,187,184,196,181,173,171,,,,,,,,,,,,,,
Licensed practical nurses,British Columbia,Okanagan HSDA,"1,251","1,283","1,279","1,323","1,358","1,414","1,484","1,471","1,462","1,501",,,,,,,,,,,,,,
Licensed practical nurses,British Columbia,Thompson/Cariboo HSDA,549,566,541,561,591,623,685,681,735,731,,,,,,,,,,,,,,
Licensed practical nurses,British Columbia,Fraser East HSDA,641,676,687,718,770,789,835,890,891,934,,,,,,,,,,,,,,
Licensed practical nurses,British Columbia,Fraser North HSDA,"1,133","1,194","1,172","1,195","1,221","1,261","1,371","1,408","1,428","1,528",,,,,,,,,,,,,,
Licensed practical nurses,British Columbia,Fraser South HSDA,"1,491","1,519","1,529","1,531","1,542","1,608","1,701","1,812","1,827","1,854",,,,,,,,,,,,,,
Licensed practical nurses,British Columbia,Richmond HSDA,203,202,202,214,218,223,275,296,308,312,,,,,,,,,,,,,,
Licensed practical nurses,British Columbia,Vancouver HSDA,"1,210","1,162","1,212","1,253","1,274","1,339","1,503","1,617","1,614","1,752",,,,,,,,,,,,,,
Licensed practical nurses,British Columbia,North Shore/Coast Garibaldi HSDA,477,497,452,505,505,551,562,550,550,564,,,,,,,,,,,,,,
Licensed practical nurses,British Columbia,South Vancouver Island HSDA,892,905,921,936,937,993,"1,054","1,032","1,016","1,041",,,,,,,,,,,,,,
Licensed practical nurses,British Columbia,Central Vancouver Island HSDA,798,769,740,775,797,849,914,909,921,946,,,,,,,,,,,,,,
Licensed practical nurses,British Columbia,North Vancouver Island HSDA,278,293,307,321,348,345,382,386,397,406,,,,,,,,,,,,,,
Licensed practical nurses,British Columbia,Northwest HSDA,154,163,154,159,153,157,153,142,142,146,,,,,,,,,,,,,,
Licensed practical nurses,British Columbia,Northern Interior HSDA,370,386,387,393,401,410,431,426,442,458,,,,,,,,,,,,,,
Licensed practical nurses,British Columbia,Northeast HSDA,129,130,118,130,139,150,150,145,132,145,,,,,,,,,,,,,,
Licensed practical nurses,British Columbia,Other*,2,99,52,104,104,95,59,57,44,43,,,,,,,,,,,,,,
Licensed practical nurses,Yukon,Yukon (total)†,107,104,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,
Licensed practical nurses,Northwest Territories,Northwest Territories (total)†,105,115,105,104,111,135,—,144,160,—,,,,,,,,,,,,,,
Licensed practical nurses,Nunavut,Nunavut (total)†,—,—,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,
Licensed practical nurses,Northwest Territories/Nunavut,Northwest Territories/Nunavut (total)†,—,—,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,
Licensed practical nurses,Jurisdictions with available data,Jurisdictions with available data (total),"97,931","101,269","102,977","104,357","105,405","113,193","114,826","116,764","118,924","116,744",,,,,,,,,,,,,,
